,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
69,69,E1DPlNlI,2025-01-11,16:15,SPAIN - LALIGA2,Huesca,Mirandes,ROUND 22,2.4,2.8,3.4,1.67,2.1,1.14,5.5,1.62,2.2,3.1,1.36,2.38,1.53
70,70,lrYVXgvh,2025-01-11,16:30,NETHERLANDS - EREDIVISIE,Heracles,Sparta Rotterdam,ROUND 18,2.7,3.4,2.55,1.36,3.0,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2
71,71,4266gUBC,2025-01-11,16:30,NETHERLANDS - EERSTE DIVISIE,Helmond,FC Emmen,ROUND 21,3.3,3.8,2.0,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,1.53,2.38
72,72,UcVVNnrI,2025-01-11,16:30,QATAR - QSL,Al Ahli Doha,Al Wakra,ROUND 12,2.8,3.55,2.1,1.3,3.2,1.03,11.0,1.18,4.35,1.65,2.12,1.58,2.25
73,73,rTo42DuT,2025-01-11,17:00,FRANCE - LIGUE 1,Brest,Lyon,ROUND 17,3.1,3.5,2.25,1.33,3.25,1.05,11.0,1.22,4.33,1.73,2.1,1.57,2.25
74,74,8ITfJQUj,2025-01-11,17:00,ISRAEL - LIGAT HA'AL,Beitar Jerusalem,Maccabi Bnei Raina,ROUND 18,1.65,3.6,4.75,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.73,2.0
75,75,zocHg763,2025-01-11,17:00,ISRAEL - LIGAT HA'AL,Maccabi Petah Tikva,Hapoel Jerusalem,ROUND 18,2.75,3.2,2.38,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8
76,76,dvAku8iA,2025-01-11,17:00,ISRAEL - LIGAT HA'AL,Netanya,Sakhnin,ROUND 18,1.95,3.4,3.5,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.73,2.0
77,77,fcbdOLoD,2025-01-11,17:00,TURKEY - SUPER LIG,Besiktas,Bodrumspor,ROUND 19,1.48,4.33,5.25,1.33,3.25,1.03,15.0,1.22,4.0,1.73,2.08,1.83,1.83
78,78,pEFdqF86,2025-01-11,18:00,ITALY - SERIE A,Torino,Juventus,ROUND 20,5.0,3.2,1.83,1.57,2.25,1.11,6.5,1.5,2.63,2.63,1.5,2.2,1.62
79,79,YgQoP8PQ,2025-01-11,18:00,EGYPT - PREMIER LEAGUE,Al Ittihad,ZED,ROUND 8,3.7,2.5,2.4,1.64,2.12,1.11,5.1,1.55,2.2,2.8,1.35,2.16,1.64
80,80,lxqJovsg,2025-01-11,18:00,MOROCCO - BOTOLA PRO,Olympique de Safi,Chabab Mohammedia,ROUND 18,1.17,6.0,15.0,1.3,3.4,1.04,12.0,1.2,4.33,1.65,2.2,2.63,1.44
